code_id,code_name,symbol,timeframe,risk_model,period_start,period_end,is_oos,trades,win_rate_pct,profit_factor,net_profit_pct,max_dd_pct,avg_r,verdict,notes
1,utbot,HYPEUSDT,15m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,78,56.4,0.73,-27.45,-30.21,-0.126,fail,"1-month window, costs included"
1,utbot,HYPEUSDT,15m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,51,49.0,1.14,9.07,-22.54,0.077,promising,"1-month window, costs included"
1,utbot,HYPEUSDT,15m,native_flip,2026-06-11,2026-07-11,IS,391,29.9,0.6,-62.67,-64.18,,fail,"1-month window, costs included"
2,alphatrend,HYPEUSDT,15m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,68,41.2,1.05,1.68,-9.5,0.035,borderline,"1-month window, costs included"
2,alphatrend,HYPEUSDT,15m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,52,21.2,0.85,-8.12,-19.27,-0.142,fail,"1-month window, costs included"
2,alphatrend,HYPEUSDT,15m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,45,66.7,1.13,4.85,-12.66,0.044,promising,"1-month window, costs included"
2,alphatrend,HYPEUSDT,15m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,29,48.3,1.11,3.49,-12.96,0.06,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,15m,native_flip,2026-06-11,2026-07-11,IS,71,25.4,0.66,-29.88,-36.86,,fail,"1-month window, costs included"
3,macross,HYPEUSDT,15m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,60,36.7,0.87,-6.41,-11.98,-0.1,fail,"1-month window, costs included"
3,macross,HYPEUSDT,15m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,57,21.1,0.84,-9.13,-18.29,-0.147,fail,"1-month window, costs included"
3,macross,HYPEUSDT,15m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,34,64.7,1.03,0.22,-13.2,0.012,borderline,"1-month window, costs included"
3,macross,HYPEUSDT,15m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,25,40.0,0.79,-10.85,-19.6,-0.133,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,15m,native_flip,2026-06-11,2026-07-11,IS,61,18.0,0.58,-34.0,-40.99,,fail,"1-month window, costs included"
1,utbot,HYPEUSDT,1h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,87,37.9,0.92,-6.12,-15.78,-0.062,fail,"1-month window, costs included"
1,utbot,HYPEUSDT,1h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,69,21.7,0.88,-8.83,-14.64,-0.113,fail,"1-month window, costs included"
1,utbot,HYPEUSDT,1h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,52,69.2,1.27,12.96,-15.45,0.087,promising,"1-month window, costs included"
1,utbot,HYPEUSDT,1h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,37,45.9,1.01,-1.63,-19.21,0.005,borderline,"1-month window, costs included"
1,utbot,HYPEUSDT,1h,native_flip,2026-06-11,2026-07-11,IS,91,31.9,0.66,-31.6,-35.97,,fail,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,18,33.3,0.75,-3.71,-6.45,-0.2,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,18,22.2,0.9,-1.96,-5.86,-0.089,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,18,50.0,0.56,-12.38,-11.08,-0.233,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,17,35.3,0.65,-12.54,-14.19,-0.243,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1h,native_flip,2026-06-11,2026-07-11,IS,18,33.3,0.59,-17.93,-26.81,,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,1h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,15,26.7,0.55,-5.96,-10.3,-0.4,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,1h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,15,20.0,0.79,-3.24,-10.3,-0.2,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,1h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,14,57.1,0.75,-5.11,-9.3,-0.114,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,1h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,13,38.5,0.74,-7.11,-14.6,-0.169,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,1h,native_flip,2026-06-11,2026-07-11,IS,15,26.7,0.69,-14.28,-29.27,,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,4h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,24,29.2,0.62,-7.72,-11.42,-0.325,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,4h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,24,20.8,0.83,-4.2,-7.91,-0.158,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,4h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,22,40.9,0.39,-23.07,-24.9,-0.385,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,4h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,21,28.6,0.48,-23.21,-21.42,-0.4,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,4h,native_flip,2026-06-11,2026-07-11,IS,24,25.0,0.21,-37.95,-36.1,,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,4h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,4,25.0,0.5,-1.82,-3.56,-0.45,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,4h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,4,0.0,0.0,-4.71,-3.56,-1.2,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,4h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,3,33.3,0.28,-4.61,-6.3,-0.511,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,4h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,3,0.0,0.0,-9.3,-6.3,-1.067,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,4h,native_flip,2026-06-11,2026-07-11,IS,3,100.0,inf,13.75,0.0,,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,4h,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,5,60.0,2.25,2.98,-2.39,0.6,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,4h,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,5,60.0,4.75,9.17,-2.39,1.8,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,4h,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,5,60.0,0.84,-1.15,-6.3,-0.067,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,4h,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,5,60.0,1.78,4.8,-6.3,0.333,insufficient_n,"1-month window, costs included"
3,macross,HYPEUSDT,4h,native_flip,2026-06-11,2026-07-11,IS,5,20.0,0.06,-15.36,-13.35,,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,1d,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,3,66.7,3.0,2.39,-1.2,0.8,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,1d,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,3,66.7,6.33,6.45,-1.2,2.133,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,1d,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,3,66.7,1.12,0.32,-3.2,0.044,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,1d,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,3,66.7,2.37,4.3,-3.2,0.489,insufficient_n,"1-month window, costs included"
1,utbot,HYPEUSDT,1d,native_flip,2026-06-11,2026-07-11,IS,2,50.0,95.6,10.01,-0.11,,insufficient_n,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1d,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1d,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1d,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1d,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
2,alphatrend,HYPEUSDT,1d,native_flip,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,HYPEUSDT,1d,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,HYPEUSDT,1d,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,HYPEUSDT,1d,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,HYPEUSDT,1d,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
3,macross,HYPEUSDT,1d,native_flip,2026-06-11,2026-07-11,IS,0,,,,,,no_trades,"1-month window, costs included"
1,utbot,BEATUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,963,33.9,0.77,-84.66,-85.19,-0.184,fail,"1-month window, costs included"
1,utbot,BEATUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,771,23.3,0.96,-34.4,-71.7,-0.033,borderline,"1-month window, costs included"
1,utbot,BEATUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,626,56.7,0.74,-91.63,-92.09,-0.122,fail,"1-month window, costs included"
1,utbot,BEATUSDT,5m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,466,42.5,0.88,-73.6,-77.21,-0.075,fail,"1-month window, costs included"
1,utbot,BEATUSDT,5m,native_flip,2026-06-11,2026-07-11,IS,1115,31.6,0.77,-96.54,-97.06,,fail,"1-month window, costs included"
2,alphatrend,BEATUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,193,36.8,0.87,-18.63,-23.28,-0.096,fail,"1-month window, costs included"
2,alphatrend,BEATUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,190,20.5,0.82,-30.82,-37.46,-0.174,fail,"1-month window, costs included"
2,alphatrend,BEATUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,178,64.6,1.03,0.26,-32.37,0.01,borderline,"1-month window, costs included"
2,alphatrend,BEATUSDT,5m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,153,44.4,0.95,-20.42,-28.26,-0.03,borderline,"1-month window, costs included"
2,alphatrend,BEATUSDT,5m,native_flip,2026-06-11,2026-07-11,IS,192,32.8,0.99,-38.03,-59.25,,borderline,"1-month window, costs included"
3,macross,BEATUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,141,27.0,0.55,-43.2,-45.47,-0.391,fail,"1-month window, costs included"
3,macross,BEATUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,140,15.0,0.56,-47.97,-51.39,-0.45,fail,"1-month window, costs included"
3,macross,BEATUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,125,58.4,0.79,-32.22,-49.32,-0.093,fail,"1-month window, costs included"
